id,author_id,title,description,price,updated_at,category_id,difficulty_id,sales,approved
1,1,Introducción a HTML,Aprende los conceptos básicos de HTML,100,2023-06-06 00:00:00,1,1,10,1
2,2,Diseño de interfaces web,Principios de diseño para interfaces web,150,2023-06-06 00:00:00,2,1,5,1
3,3,JavaScript avanzado,Aprende técnicas avanzadas de JavaScript,200,2023-06-06 00:00:00,1,2,8,1
4,4,Introducción a CSS,Fundamentos de CSS para estilizar páginas,100,2023-06-06 00:00:00,1,1,12,1
5,5,Diseño de experiencias de usuario,Cómo crear experiencias de usuario atractivas,150,2023-06-06 00:00:00,2,2,3,1
6,6,Python para análisis de datos,Utiliza Python para analizar datos,200,2023-06-06 00:00:00,1,3,6,1
7,7,Introducción al diseño gráfico,Conceptos básicos de diseño gráfico,100,2023-06-06 00:00:00,3,1,9,1
8,8,Desarrollo web con React,Crea aplicaciones web con React,150,2023-06-06 00:00:00,4,2,2,1
9,9,Inteligencia Artificial en la industria,Aplicaciones de IA en diversos sectores,200,2023-06-06 00:00:00,5,3,4,1
10,10,Fundamentos de programación,Principios básicos de programación,100,2023-06-06 00:00:00,1,1,15,1
11,11,Diseño de interfaces móviles,Principios de diseño para interfaces móviles,150,2023-06-06 00:00:00,2,1,7,1
12,12,Machine Learning con Python,Aprende a construir modelos de Machine Learning,200,2023-06-06 00:00:00,5,2,9,1
13,13,Optimización de CSS,Mejora el rendimiento de tus hojas de estilo,100,2023-06-06 00:00:00,1,3,3,1
14,14,Diseño de productos digitales,Estrategias para diseñar productos digitales exitosos,150,2023-06-06 00:00:00,2,2,6,1
15,15,Análisis de datos con SQL,Realiza consultas y análisis de datos con SQL,200,2023-06-06 00:00:00,1,3,11,1
16,16,Introducción al diseño de logotipos,Conceptos básicos de diseño de logotipos,100,2023-06-06 00:00:00,3,1,8,1
17,17,Desarrollo web con Node.js,Crea aplicaciones web con Node.js,150,2023-06-06 00:00:00,4,2,4,1
18,18,Inteligencia Artificial y ética,Consideraciones éticas en la implementación de IA,200,2023-06-06 00:00:00,5,3,7,1
19,19,Programación orientada a objetos,Aprende a programar con enfoque orientado a objetos,100,2023-06-06 00:00:00,1,1,13,1
20,20,Diseño de interfaces conversacionales,Principios de diseño para interfaces conversacionales,150,2023-06-06 00:00:00,2,1,9,1
